Link ID,6:00-6:15,6:15-6:30,6:30-6:45,6:45-7:00,7:00-7:15,7:15-7:30,7:30-7:45,7:45-8:00,8:00-8:15,8:15-8:30,8:30-8:45,8:45-9:00,9:00-9:15,9:15-9:30,9:30-9:45,9:45-10:00,
35863,3.963001371,7.27998451,14.43507879,56.44472457,39.34745956,20.04095667,22.71174074,19.75268862,16.01065209,33.62144741,90.25063832,58.39701101,20.12028313,29.84614292,8.897446678,0.763495519,
35864,1.779632096,6.552615478,5.967872767,10.45102881,26.54893719,11.64267067,15.52009825,8.828765082,15.67639034,47.13025953,44.56956737,36.37785918,11.44731803,13.99763403,3.156708759,1.733300315,
35866,0.165240079,0.436756511,0.890732751,2.478886108,5.464091972,7.989571529,5.254880151,4.632644194,5.289916339,5.790208429,15.68645646,13.44732715,11.42624999,5.320530683,3.267884109,2.190191044,
35867,0.076179703,0.193059748,0.366020546,0.407518414,0.388609256,0.732191721,1.174580675,1.096069692,0.497252884,2.416061164,1.764199613,3.756949606,2.565181598,1.091365167,0.461952689,0.1410519,
35868,3.517834227,2.41036001,5.518770733,10.25013671,12.99987569,12.617176,16.7723066,21.94732424,35.0999815,32.79509157,22.45622817,23.46046002,9.206864986,1.986104974,1.182081073,1.503286064,
35869,0.428992018,1.789081434,1.291615893,1.48372149,2.631991945,5.039899714,3.5748099,2.341975938,3.801290555,3.445686601,4.702515515,4.772592307,2.314866682,1.947749512,2.162342279,47.14842859,
35877,2.592264873,4.544274179,11.23105662,35.58238751,24.97190554,17.00027207,8.980097696,15.07224197,15.63605233,27.31893288,95.31149901,37.37288739,7.949236904,9.272907637,3.74964325,0.221720546,
35878,10.20603047,30.75114486,28.65775734,32.59741432,94.02390696,65.17807207,51.90751962,35.24610885,62.81282447,76.92872142,100.3661133,31.99213548,18.68455195,28.0473706,13.0289261,7.118352081,
35879,0.136772317,0.59171325,1.093806274,0.763963097,0.949616681,0.651209171,1.285365806,0.623109958,1.386661762,1.685511872,1.460325242,3.769288357,2.032241658,1.652488056,0.367387798,0.474764604,
35880,0.661153502,1.075034038,1.052558211,8.253081876,5.064601196,4.0446518,9.728169111,18.4482301,3.146995908,0.180687586,1.589649665,0.297571833,0.080273481,0,0,6.490167808,
35882,0.034420987,0.145090846,0.131625048,0.347569969,1.90690061,1.718585353,1.264292343,10.87955729,0.480066022,0.283066304,13.87690201,38.35277528,2.17380652,1.005608546,0.931708224,1.79465218,
35897,6.633606131,11.48202835,21.40174283,26.3369291,15.13073039,6.194096379,8.213606002,18.44200862,80.02036961,16.48284315,4.79709052,9.497746858,1.286875387,0,0,0,
35898,0.229460181,0.44218962,0.710808593,0.578049309,0.511935321,0.520543087,2.345555951,2.962540354,5.127600998,2.782725297,2.956610746,1.698763077,5.685811979,66.71340973,200,200,
35899,0.041169417,0.038431191,0.223288101,0.581372939,0.349597461,0.421996952,1.012328467,0.554120967,0.167827713,0.229786832,0.375367304,0.922817136,0.794797219,0.251249831,0,0.014898419,
35906,5.397402024,8.887120477,13.62371291,16.31639904,16.33040525,38.34114896,145.3507188,180.0944389,131.3514342,173.8069525,165.1733666,187.1844104,187.5,187.5,187.5,187.125,
35907,3.992646654,8.116592087,7.859530592,6.141859657,6.536502471,3.891766048,6.331015552,3.045868096,6.450771775,1.644935504,4.278739064,4.268535469,4.020252044,1.195032834,0,0.098055623,
35908,0.198526851,0.83998621,0.617503494,0.326982209,0.538365975,0.613174403,0.647775581,0.203087507,0.354216128,0.569768762,0.59388014,1.325457308,2.137988418,0.494927037,2.596506882,2.09089318,
35918,0.148768068,0.291724363,0.148855257,0.504385041,1.13438748,0.861195394,3.495822717,3.009017179,4.510996376,1.852081405,0.349294159,0.066238066,50.55101318,110.6679437,0.425308909,1.190210424,
35919,0,0.145796604,0.025925926,0,0.224919431,0.877756175,4.950974809,9.072080494,10.09367428,21.84662825,19.82308338,27.67009469,34.43293715,16.01016077,0.189282274,0,
35922,1.7807797,3.306401473,3.73196372,6.40412333,14.9906378,18.76073483,9.743622176,25.20790291,30.32570593,29.47265125,29.31390124,24.30394578,31.19202547,36.4448601,16.25693729,8.33705253,
35923,1.648894171,5.007975432,12.42932167,13.75833514,41.74567648,51.73403315,54.22736894,66.31084765,20.76302073,34.55904573,26.8394175,27.32245456,20.97275709,17.38921457,4.093764994,2.556989305,
35924,1.953088536,3.504602997,4.50020634,5.502670966,3.369620101,2.720746501,4.161434958,3.835987947,5.112920594,6.520382252,5.557656026,3.973681808,2.284343186,2.25922474,1.348775629,0.636287879,
35929,3.209780596,8.111162411,16.02335588,23.19361501,34.66922439,23.58516265,23.91928549,47.36834946,47.49497616,49.94892568,61.66096788,28.24383002,17.35338003,19.92942493,6.695869782,2.788852684,
35930,0.059094331,0.413979604,0.624030257,1.409238009,1.065441901,5.848620255,4.286626366,28.83637922,87.11129685,1.413050314,4.549606377,15.89184642,5.888043535,13.93108157,3.57011838,1.713430675,
35931,11.69975356,32.71812553,46.86412355,54.53607614,106.0279172,100.1810109,125.2411703,100.9204925,71.02342624,46.79093514,17.97900208,34.13370033,24.74778442,25.82244316,10.52493753,2.566718333,
35950,0.22155684,0.247752313,0.21920488,0.327920964,0.816459185,2.29038033,8.376381921,43.92773142,57.8283955,15.12441087,1.570056202,11.22352555,25.92461103,8.917672738,2.306843627,0.937687841,
35951,1.442080619,3.866510417,7.543731979,15.46486366,17.73686769,9.209237733,9.692162908,6.278234956,2.106595237,2.362947705,0.992275803,3.436852277,0.666700748,9.625210842,7.531921187,5.723550205,
35952,3.423632946,8.921247306,13.60510405,17.18124967,42.21883113,21.37841924,23.01054044,35.41849392,17.85172688,30.95157707,21.63918734,11.95028698,12.7927477,15.96690339,5.712268029,2.175742161,
35953,0.050237478,0.047257741,0.025979155,0.024589437,0.194100161,0.171674741,0.340920409,0.117758117,0.294466068,0.05050995,0.283071742,0.435218049,0.375837247,0.123869239,0.115299729,0.092467845,
35954,0.061554637,0.24748766,1.231781583,1.479459828,1.35698769,4.048256477,2.345543621,2.833608791,2.557420655,5.147148129,5.355258922,9.035812738,2.754492678,1.808748733,1.250216024,7.960187111,
35955,2.281213417,2.994233829,5.299749215,6.595472701,7.256858746,6.86150175,8.880690828,11.58620895,10.53921121,11.59118985,11.14951141,11.77704444,7.190746842,3.705405485,0.984321674,0.306311099,
35956,0.116486001,0.4014681,1.001666857,1.447999807,2.249838613,2.355843668,3.953615073,5.559674353,6.728778268,6.284174325,2.467048013,4.288253072,2.663269102,2.111626961,1.006576787,1.340426292,
35962,0.205808367,0.274599552,0.160804941,0.712606842,0.889368733,0.800255736,0.626730776,0.525833216,1.046394152,3.973535394,5.523669144,8.839137389,2.531545625,0.207095309,0.136843623,0.153916104,
35963,0.900029837,3.919145017,3.441567858,5.439725774,8.652358142,18.47317119,15.48537238,6.430327665,8.460937826,16.25821764,22.97213202,19.78781024,6.245275563,7.098041776,12.38089877,49.11291616,
35964,1.383420048,0.577809238,1.320465923,1.453363635,1.931476951,2.167589845,2.20381965,9.15740282,66.60989552,13.04240211,16.97090859,18.54037224,9.397592853,10.16281666,1.545469378,2.604060222,
35965,0.727563272,5.767912873,13.0550216,6.402965747,6.107830998,10.119095,12.16002829,6.371634776,8.314730687,7.461641196,6.110910862,10.35646756,7.989186628,16.43864029,7.716513649,12.81492451,
35966,0.400163712,0.988250408,8.192507939,13.0172738,5.339796274,3.178613467,5.453193341,3.839634906,4.84944076,6.993633361,7.705481015,4.035373411,0.984107919,0.821735804,2.910382735,2.326542421,
35967,3.564957654,6.798537959,12.65878633,8.193916168,9.3358735,19.80086761,98.00159153,7.221588751,4.951750316,18.46880083,14.54221499,13.16523659,36.38897639,24.08213918,160.4233769,200,
35979,0.152748359,0.177976737,0.654056325,0.682063836,0.669213811,1.297736181,1.464162211,1.359522504,0.754958389,0.800206361,1.562353992,3.034797163,3.174563678,0.928678044,0,0.06647732,
35980,2.182268176,3.445598294,5.659243672,9.487539826,8.016755231,38.13290051,142.943546,163.994519,146.3437712,117.1278923,152.8306427,166.6666667,166.6666667,166.6666667,166.6666667,166.3333333,
35981,3.077863199,5.030738398,7.326792597,7.371555714,8.042311811,9.814262989,4.829544582,0.519261024,7.507341885,1.413650205,1.579215368,0,0,0,0,0,
35986,0.530940561,2.080721447,5.289442022,1.660313498,3.002163371,4.840671673,1.847251743,1.692121805,3.330957829,4.15530452,16.96092713,19.25168402,7.159526998,4.941812973,2.156870784,0.29926576,
35987,0.847133085,2.453440007,12.38175205,5.645094064,5.024965735,8.109838134,9.516134275,9.892639766,18.34634514,51.5241208,41.88985084,7.560722386,15.02089729,7.339168212,6.381464358,3.664402537,
35988,1.664549409,10.51854719,9.552211099,9.508803409,7.309741802,16.92593196,12.89444696,4.287397778,10.69183903,19.85253116,8.7776107,9.135386144,2.021546446,3.608199338,3.431468078,6.373299776,
35989,0.757060629,2.167008461,4.156088234,9.654252645,11.6499192,7.315171086,36.4666461,9.214453061,9.522544181,4.603777297,2.979082773,6.084648444,25.56194463,41.41256077,187.7582281,200,
36000,0.217755285,0.447009447,0.96053071,0.307274497,0.280926707,3.62407635,9.920884548,1.727084163,0.108442245,0.747282137,13.41293346,35.64459045,8.598838283,28.92749656,0.221156332,0.280495078,
36001,1.773239834,4.174685718,13.26257064,5.325504887,7.031495433,12.26204854,16.141486,7.324987582,4.20783571,5.370272479,3.946848145,7.753578905,7.946140679,6.779545635,4.214520153,23.92164266,
36002,0.100779578,0.404473793,1.486374493,1.291796293,1.660130648,2.026351606,1.786018589,2.46626388,2.940719991,4.944847944,4.67377711,2.114951311,2.020085757,1.78624759,2.717623555,2.725538008,
36003,2.463790352,3.215807101,6.388710226,27.83249034,137.4723875,10.65253158,5.263417481,5.208717774,6.511315347,9.748281078,29.5160734,1.549145874,0.149750095,0.431119664,0.238721087,0.140819819,
36008,4.669669739,8.351286688,17.39526525,15.40668284,49.42233403,30.88593383,43.08300579,28.96418041,17.14986998,18.17913543,16.15424053,14.31301159,4.719323316,7.678718213,6.893869136,8.011922911,
36009,0.442377822,2.349676139,7.934348888,7.973534143,18.49285326,10.28375746,9.452755043,16.37884965,21.03198031,30.57588797,46.96193256,9.753924004,5.089256763,6.157257277,5.725423537,6.391800915,
36013,0.277305168,0.424992039,1.197980367,2.210609082,1.725220302,1.428470075,3.003781132,3.728548678,5.775474055,1.636816957,1.567954519,2.744185768,2.23181304,0.805841322,0,28.68826518,
36014,0.494369457,1.461252319,1.953839218,1.321568616,1.811252903,0.435483394,2.100087561,44.69666756,18.22847402,19.46484952,0.424861311,7.858755026,9.311021021,8.807575195,9.946017453,9.206552618,
36015,1.437883277,4.403711979,9.095828657,8.119976035,11.12717255,7.151455666,4.817720176,0.665120094,4.016460191,4.288177637,10.0135614,5.498324908,4.009353133,1.266556579,0,0,
36016,2.019894631,3.970468739,4.229107683,3.757008208,2.157247934,1.532622622,1.057386238,2.690768563,8.320975769,3.689217584,1.07489105,1.279268285,13.67530483,15.15151515,15.15151515,12.17016619,
36023,0.117965672,0,0.499624153,0.626176947,0.450096951,1.036618731,0.879862365,1.371812685,0.709569441,0.964528845,1.323994854,2.566779164,2.594678068,0.804678136,0,0.213675636,
36025,2.893034183,5.353561858,7.452458818,7.204869472,8.370414155,9.905130131,5.34853724,0.657758034,7.709789312,1.178223663,1.875921592,0,0,0,0,0,
36026,0.03664728,0.168158835,0.161936809,0.064493512,0.201805019,0.291154514,0.5510898,0,0.059183814,0.03794575,0.097305027,0.482256952,0.520160131,0.139271578,0,0,
36027,4.809609282,7.633696639,14.93090556,18.18006587,18.58747017,70.83296798,149.6728883,186.9466934,161.2286801,187.180565,161.6450672,193.1034483,193.1034483,193.1034483,193.1034483,192.3304266,
36029,0.495909942,0.879779481,0.46037637,0.538248491,0.489495021,0.524308043,1.950544587,1.17340705,1.182853901,1.160804444,1.48682041,0.397570355,6.91540148,60.61568594,0.07121698,0.851122421,
36033,0,0.147395482,0.659548831,1.636587913,1.443689925,0.579461151,2.669131223,1.820041617,2.90987661,1.076878675,0.902375687,1.375908757,0.616262767,1.565689244,0.075543548,1.964691802,
36034,0.036705539,0.345003888,1.27792237,0.921781465,2.327554874,1.559761078,0.376748641,1.387464801,1.525983565,5.184378579,5.340780642,16.65966351,7.800536216,3.464972472,0.683221932,0.21738588,
36035,1.376734935,3.690166292,2.012208558,5.853617326,6.657478357,3.388591966,5.112451354,9.508661427,9.185671052,27.69444646,18.82284433,19.37501058,2.868986397,7.153274461,1.330518198,0.961024195,
36036,3.355416509,6.039295782,7.543041584,7.63270808,20.86445409,15.20769849,22.90500466,11.65956159,13.66982736,13.12478309,8.62662267,3.746041567,2.815598604,4.100840843,2.044678214,3.022148277,
36037,0.481885529,1.105326137,1.829369071,1.189537818,2.146124892,1.893360446,1.928234881,2.403905998,2.956352165,3.780261455,6.777777815,4.79879167,4.033681372,2.852915143,1.829769525,0.255913546,
36038,0.843614596,2.737116581,3.077969464,3.191910363,17.32142212,8.531549974,3.37421855,3.256494058,3.688726901,3.105971823,3.484966685,3.639591123,2.811804823,4.572813265,2.10928327,10.97793981,
36055,1.396783429,10.49882059,8.23014692,9.679590822,51.26630282,39.44241037,32.36826721,20.87913964,22.24445544,10.33666032,3.23521262,8.186845064,3.18235733,8.216900667,3.373959562,3.553030813,
36056,0.846286633,2.431006581,4.93744898,4.42122749,10.65654907,16.496186,18.90940541,12.48397157,14.52727484,39.93849105,41.41264242,17.54048696,9.383679343,8.440222914,3.70937431,0.523470582,
36069,0.070696276,0.091250552,0.04828985,0.163178539,0.165148816,0.183356887,0.069458316,0.161010673,0.212937506,0.776337229,1.186976002,1.353455625,0.405277499,0.075955724,0.025162321,0.044916404,
36070,0.184695773,0.522082053,2.058591023,3.14029566,2.911873586,2.471978731,2.311082509,1.933944335,5.010682526,7.400119501,12.62364773,8.726032981,3.829050943,15.47799611,65.30918132,66.66666667,
36071,0.849376398,4.550828585,4.536476246,2.006210291,3.569453599,13.76164231,108.983837,5.074085443,4.422212401,5.084969344,4.795318001,4.551097171,2.708084202,2.579991726,2.929639976,1.524455275,
36072,0.374106198,0.640105632,2.153436357,8.373035239,4.701562994,2.254484404,0.915682946,2.067453712,3.755391395,3.749992963,2.446812554,3.948008745,1.863128407,1.962049607,0.519242861,0.880110817,
36079,0.277169586,5.317611276,78.73489976,4.611190867,2.818674415,4.176149084,3.164568436,13.73573241,126.5378989,153.9571828,58.75162593,1.517793884,0.879261005,0.275118035,0.346853755,0.207151094,
36080,0.261153624,1.922049404,6.181302865,5.268440262,28.85807279,42.27699994,50.79662806,27.9221455,45.2330013,29.67095413,14.49424745,11.00339,7.518107677,9.958132888,3.705085585,2.09988377,
